STUDENT_ID,COURSE,COURSE_UNIT,SEMESTER,TEST,COURSE_WORK,EXAM,GRADE_POINT,GENDER
2717,DGDD,FIREWORKS,3,10,14,4,F,M
2717,DGDD,FIGURATIVE DRAWING,3,10,10,10,F,M
2718,DGDD,FIGURATIVE DRAWING,3,10,8,34,C-,F
2718,DGDD,PHOTOSHOP,3,13,20,37,B,F
2718,DGDD,3D MODELING WITH WINGS 3D,3,10,20,39,B-,F
2718,DGDD,FIREWORKS,3,20,11,37,B-,F
2655,DGDD,PHOTOSHOP,3,14,20,50,A,F
2655,DGDD,3D MODELING WITH WINGS 3D,3,18,10,49,B+,F
2655,DGDD,ENTREPRENEURSHIP,3,17,19,46,A,F
2655,DGDD,FIREWORKS,3,19,20,21,C+,F
2655,DGDD,FIGURATIVE DRAWING,3,14,15,47,B+,F
2631,DGDD,FIGURATIVE DRAWING,3,19,17,52,A,M
2631,DGDD,PHOTOSHOP,3,19,20,50,A,M
2631,DGDD,3D MODELING WITH WINGS 3D,3,19,20,59,A,M
2631,DGDD,FIREWORKS,3,16,20,52,A,M
2726,DGDD,PHOTOSHOP,3,20,16,53,A,M
2726,DGDD,FIREWORKS,3,14,20,55,A,M
2726,DGDD,3D MODELING WITH WINGS 3D,3,20,16,49,A,M
2726,DGDD,FIGURATIVE DRAWING,3,17,10,1,F,M
2720,DGDD,PHOTOSHOP,3,12,20,28,C+,F
2720,DGDD,3D MODELING WITH WINGS 3D,3,17,10,24,C-,F
2720,DGDD,FIREWORKS,3,16,20,24,C+,F
2720,DGDD,FIGURATIVE DRAWING,3,10,9,30,D+,F
2710,DGDD,FIGURATIVE DRAWING,3,20,6,41,B-,M
2710,DGDD,PHOTOSHOP,3,20,10,42,B,M
2710,DGDD,3D MODELING WITH WINGS 3D,3,18,10,38,B-,M
2710,DGDD,FIREWORKS,3,18,10,37,B-,M
2657,DGDD,FIGURATIVE DRAWING,3,16,11,38,B-,M
2657,DGDD,PHOTOSHOP,3,15,20,32,B-,M
2657,DGDD,3D MODELING WITH WINGS 3D,3,10,20,55,A,M
2657,DGDD,FIREWORKS,3,17,20,30,B-,M
2643,DGDD,FIREWORKS,3,20,18,39,B+,M
2643,DGDD,FIGURATIVE DRAWING,3,17,12,44,B,M
2643,DGDD,PHOTOSHOP,3,15,20,53,A,M
2643,DGDD,3D MODELING WITH WINGS 3D,3,18,20,53,A,M
2713,DGDD,FIGURATIVE DRAWING,3,17,12,42,B,M
2713,DGDD,3D MODELING WITH WINGS 3D,3,20,15,47,A,M
2713,DGDD,PHOTOSHOP,3,14,20,43,B+,M
2713,DGDD,FIREWORKS,3,20,17,56,A,M
2647,DGDD,FIGURATIVE DRAWING,3,18,10,36,C+,M
2647,DGDD,PHOTOSHOP,3,15,20,54,A,M
2647,DGDD,3D MODELING WITH WINGS 3D,3,20,15,34,B-,M
2647,DGDD,FIREWORKS,3,19,20,56,A,M
2728,DGDD,FIGURATIVE DRAWING,3,10,13,28,C-,M
2728,DGDD,PHOTOSHOP,3,19,10,43,B,M
2728,DGDD,3D MODELING WITH WINGS 3D,3,17,10,38,B-,M
2728,DGDD,FIREWORKS,3,13,20,37,B,M
2652,DGDD,FIGURATIVE DRAWING,3,19,13,38,B,F
2652,DGDD,PHOTOSHOP,3,20,13,54,A,F
2652,DGDD,3D MODELING WITH WINGS 3D,3,12,20,48,A,F
2652,DGDD,FIREWORKS,3,20,14,40,B,F
2716,DGDD,FIGURATIVE DRAWING,3,19,10,43,B,F
2716,DGDD,PHOTOSHOP,3,10,20,43,B,F
2716,DGDD,3D MODELING WITH WINGS 3D,3,18,20,39,B+,F
2716,DGDD,FIREWORKS,3,12,20,35,B-,F
2715,DGDD,PHOTOSHOP,3,20,11,32,C+,M
2715,DGDD,3D MODELING WITH WINGS 3D,3,17,10,37,C+,M
2715,DGDD,FIGURATIVE DRAWING,3,15,12,39,B-,M
2715,DGDD,FIREWORKS,3,14,20,37,B,M
2666,DGDD,PHOTOSHOP,3,20,16,30,B-,F
2666,DGDD,FIREWORKS,3,20,20,24,C+,F
2666,DGDD,FIGURATIVE DRAWING,3,12,1,1,F,F
2666,DGDD,3D MODELING WITH WINGS 3D,3,1,1,1,F,F
2615,DGDD,FIGURATIVE DRAWING,3,10,6,30,D+,F
2615,DGDD,PHOTOSHOP,3,10,18,39,B-,F
2615,DGDD,FIREWORKS,3,12,20,24,C,F
2615,DGDD,3D MODELING WITH WINGS 3D,3,18,10,44,B,F
2711,CGDD,PHOTOSHOP,3,15,15,33,C+,M
2711,CGDD,FIREWORKS,3,10,20,49,B+,M
2711,DGDD,3D MODELING WITH WINGS 3D,3,10,18,38,B-,M
2706,CVTVP,CUSTOMER CARE,3,8,17,42,B-,M
2706,CVTVP,PREMIER PRO I,3,19,16,50,A,M
2706,CVTVP,COMPOSITION PRINCIPLES,3,19,14,56,A,M
2649,CVTVP,CUSTOMER CARE,3,18,12,57,A,F
2649,CVTVP,PREMIER PRO I,3,8,17,42,B-,F
2649,CVTVP,COMPOSITION PRINCIPLES,3,18,17,54,A,F
2738,CCS,SYSTEM ADMINISTRATION,3,16,18,43,B+,M
2727,DIT,SYSTERM ANALYSIS,3,19,10,32,C+,M
2727,DIT,USER INTERFACE DESIGN,3,17,18,41,B+,M
2603,DGDD,ILLUSTRATOR,4,18,15,43,B+,M
2603,DGDD,STUDIO MANAGEMENT,4,18,13,57,A,M
2603,DGDD,3D MODELING WITH BLENDER 3D,4,20,15,45,A,M
2603,DGDD,TYPOGRAPHY,4,20,15,48,A,M
2579,DGDD,ILLUSTRATOR,4,18,7,32,C,F
2579,DGDD,3D MODELING WITH BLENDER 3D,4,20,11,47,B+,F
2579,DGDD,TYPOGRAPHY,4,15,20,40,B+,F
2579,DGDD,STUDIO MANAGEMENT,4,10,18,45,B,F
